,A,B
0,95,81
1,89,24
2,91,7
3,52,30
4,71,27
5,21,15
6,23,47
7,98,17
8,20,99
9,16,60
10,95,19
11,24,90
12,42,22
13,3,50
14,72,93
15,82,19
16,64,52
17,60,69
18,19,57
19,25,18
20,58,44
21,77,26
22,17,3
23,99,48
24,32,75
25,85,73
26,97,76
27,20,80
28,42,27
29,85,87
30,88,76
31,70,14
32,82,90
33,35,41
34,15,93
35,98,77
36,64,76
37,77,37
38,37,13
39,14,60
40,95,67
41,15,1
42,62,90
43,66,70
44,59,88
45,55,19
46,98,68
47,36,3
48,24,63
49,25,39
50,17,87
51,53,71
52,11,92
53,64,7
54,5,20
55,40,58
56,34,74
57,10,80
58,55,29
59,36,43
60,86,42
61,14,43
62,85,5
63,17,99
64,30,14
65,91,20
66,76,72
67,74,76
68,38,56
69,17,78
70,28,57
71,94,45
72,44,42
73,12,52
74,58,85
75,43,56
76,44,56
77,31,59
78,44,15
79,38,42
80,32,13
81,19,71
82,92,30
83,22,43
84,64,70
85,51,66
86,93,47
87,43,61
88,8,78
89,96,38
90,12,28
91,32,33
92,37,62
93,23,23
94,64,63
95,78,38
96,46,10
97,3,22
98,54,4
99,94,82
